ID,Deskripsi Produk,Merek,Kategori,Harga Sewa,Preferensi Pengguna,Jumlah Stok
116,Kamera Instant Kodak,Kodak,Kamera,180000,"Instan, Desain Klasik",4
117,Speaker Bluetooth Ultimate Ears,Ultimate Ears,Speaker,300000,"Suara Kualitas Tinggi, Desain Stylish",5
118,Gitar Akustik,Taylor,Alat Musik,600000,"Suara Nada Tinggi, Kualitas Build Tinggi",2
119,Kompor Gas Hemat Energi,Electrolux,Dapur,250000,"Efisien, Mudah Digunakan",8
120,Smartphone Samsung Galaxy,Samsung,Smartphone,900000,"Performa Tinggi, Kualitas Kamera",3
121,Set Alat Ukur,Lufkin,Perkakas,150000,"Presisi, Tahan Lama",6
122,Blender Personal Blender,Breville,Dapur,150000,"Praktis, Kualitas",10
123,Kamera DSLR Canon,Canon,Kamera,400000,"Fotografi, Kualitas Gambar Tinggi",7
124,Laptop Acer,Acer,Laptop,500000,"Performa Tinggi, Harga Terjangkau",4
125,Speaker Portable Sony,Sony,Speaker,200000,"Portabel, Suara Jernih",5
126,Tenda Camping 4 Orang,Coleman,Tenda,80000,"Nyaman, Ringan",8
127,Sepatu Lari Mizuno,Mizuno,Sepatu,150000,"Nyaman, Performa Tinggi",7
128,Matras Angin Tidur Single,King Koil,Matras,100000,"Nyaman, Mudah Digunakan",6
129,Tas Backpack,JanSport,Tas,150000,"Ringan, Tahan Lama",6
130,Kamera Instant Fujifilm,Fujifilm,Kamera,200000,"Instan, Gaya Retro",4
131,Speaker Bluetooth Bose,Bose,Speaker,400000,"Suara Kualitas Tinggi, Desain Elegan",5
132,Gitar Klasik,Yamaha,Alat Musik,200000,"Suara Nada Rendah, Desain Klasik",6
133,Kompor Induksi Hemat Energi,Philips,Dapur,250000,"Efisien, Mudah Digunakan",8
134,Smart TV Samsung,Samsung,Smart TV,400000,"Kualitas Gambar, Akses Streaming",5
135,Mesin Jahit Brother,Brother,Mesin Jahit,250000,"Kualitas, Fitur Lengkap",6
136,Kulkas 2 Pintu,LG,Kulkas,150000,"Tahan Lama, Hemat Energi",7
137,Kamera Mirrorless Fujifilm,Fujifilm,Kamera,300000,"Fotografi, Desain Retro",4
138,Laptop HP,HP,Laptop,600000,"Performa Tinggi, Harga Terjangkau",4
139,Speaker Portable JBL,JBL,Speaker,200000,"Portabel, Suara Kualitas Tinggi",5
140,Tenda Camping 10 Orang,Coleman,Tenda,150000,"Nyaman, Ruang Luas",6
141,Sepatu Sepeda,Shimano,Sepatu,200000,"Nyaman, Performa Tinggi",7
142,Matras Angin Tidur King,King Koil,Matras,200000,"Nyaman, Tahan Lama",6
143,Tas Ransel Laptop,Targus,Tas,150000,"Kuat, Tahan Lama",6
144,Kamera DSLR Sony,Sony,Kamera,500000,"Fotografi, Kualitas Gambar Tinggi",7
145,Laptop Dell,Dell,Laptop,700000,"Performa Tinggi, Kualitas Build Tinggi",4
146,Speaker Bluetooth JBL,JBL,Speaker,250000,"Portabel, Suara Kualitas Tinggi",5
147,Tenda Camping 2 Orang,Coleman,Tenda,60000,"Nyaman, Ringan",8
148,Sepatu Basket,Adidas,Sepatu,250000,"Nyaman, Performa Tinggi",7
149,Matras Angin Tidur Single,Intex,Matras,80000,"Nyaman, Mudah Digunakan",6
150,Tas Selempang,Puma,Tas,120000,"Praktis, Tahan Lama",6
151,Kamera Mirrorless Olympus,Olympus,Kamera,250000,"Fotografi, Kualitas Gambar Tinggi",7
152,Laptop ASUS,ASUS,Laptop,600000,"Performa Tinggi, Desain Stylish",4
153,Speaker Portable Marshall,Marshall,Speaker,250000,"Portabel, Suara Kualitas Tinggi",5
154,Blender Philips,Philips,Dapur,80000,"Pemrosesan Makanan Cepat, Mudah Dibersihkan",8
155,Kamera DSLR Nikon,Nikon,Kamera,450000,"Fotografi, Kualitas Gambar Tinggi",7
156,Laptop Lenovo,Lenovo,Laptop,500000,"Performa Tinggi, Harga Terjangkau",4
157,Speaker Bluetooth Sony,Sony,Speaker,300000,"Portabel, Suara Jernih",5
158,Tenda Camping 6 Orang,Coleman,Tenda,120000,"Nyaman, Ruang Luas",6
159,Sepatu Lari,New Balance,Sepatu,180000,"Nyaman, Performa Tinggi",7
160,Matras Angin Tidur Double,King Koil,Matras,200000,"Nyaman, Tahan Lama",6
161,Tas Ransel Anti Air,Under Armour,Tas,250000,"Tahan Air, Desain Stylish",6
162,Kamera Instant Leica,Leica,Kamera,300000,"Instan, Desain Klasik",4
163,Speaker Bluetooth Bose,Bose,Speaker,500000,"Suara Kualitas Tinggi, Desain Elegan",5
164,Gitar Elektrik,Gibson,Alat Musik,1000000,"Suara Nada Tinggi, Desain Keren",6
165,Kompor Gas Tanam,Electrolux,Dapur,250000,"Desain Stylish, Efisien",8
166,Smartphone OnePlus,OnePlus,Smartphone,700000,"Kualitas Premium, Performa Tinggi",3
167,Set Alat Pancing Shimano,Shimano,Outdoor,200000,"Kualitas, Keandalan",6
168,Set Alat BBQ,Weber,Outdoor,200000,"Mudah Digunakan, Kualitas Tinggi",8
169,Smart TV Sony,Sony,Smart TV,300000,"Kualitas Gambar, Akses Streaming",5
170,Kursi Malas,Intex,Furniture,100000,"Nyaman, Portabel",10
171,Drone DJI Phantom,DJI,Drone,500000,"Kamera Terbang, Stabil",4
172,Alat Fitness Stationary Bike,Schwinn,Alat Fitness,250000,"Fitur Lengkap, Pelatihan Kardio",6
173,Proyektor Mini,AAXA,Proyektor,150000,"Portabel, Kualitas Gambar Tinggi",7
174,Set Perkakas Listrik Makita,Makita,Perkakas,400000,"Kualitas, Keandalan",4
175,Blender Oster,Oster,Dapur,80000,"Pemrosesan Makanan Cepat, Mudah Dibersihkan",8
176,Kamera Mirrorless Sony,Sony,Kamera,350000,"Fotografi, Kualitas Gambar Tinggi",5
177,Laptop Apple MacBook,Apple,Laptop,800000,"Desain Stylish, Kualitas Build Tinggi",3
178,Speaker Bluetooth JBL,JBL,Speaker,200000,"Portabel, Suara Kualitas Tinggi",5
179,Tenda Camping 8 Orang,Coleman,Tenda,120000,"Nyaman, Ruang Luas",6
180,Sepatu Basket,Nike,Sepatu,250000,"Nyaman, Performa Tinggi",7
181,Matras Angin Tidur Queen,Simmons,Matras,200000,"Nyaman, Tahan Lama",6
182,Tas Travel,The North Face,Tas,250000,"Kuat, Tahan Lama",7
183,Kamera Instant Kodak,Kodak,Kamera,180000,"Instan, Desain Klasik",4
184,Speaker Bluetooth Ultimate Ears,Ultimate Ears,Speaker,300000,"Suara Kualitas Tinggi, Desain Stylish",5
185,Gitar Akustik,Taylor,Alat Musik,600000,"Suara Nada Tinggi, Kualitas Build Tinggi",2
186,Kompor Gas Hemat Energi,Electrolux,Dapur,250000,"Efisien, Mudah Digunakan",8
187,Smartphone Samsung Galaxy,Samsung,Smartphone,900000,"Performa Tinggi, Kualitas Kamera",3
188,Set Alat Ukur,Lufkin,Perkakas,150000,"Presisi, Tahan Lama",6
189,Blender Personal Blender,Breville,Dapur,150000,"Praktis, Kualitas",10
190,Kamera DSLR Canon,Canon,Kamera,400000,"Fotografi, Kualitas Gambar Tinggi",7
191,Laptop Acer,Acer,Laptop,500000,"Performa Tinggi, Harga Terjangkau",4
192,Speaker Portable Sony,Sony,Speaker,200000,"Portabel, Suara Jernih",5
193,Tenda Camping 4 Orang,Coleman,Tenda,80000,"Nyaman, Ringan",8
194,Sepatu Lari Mizuno,Mizuno,Sepatu,150000,"Nyaman, Performa Tinggi",7
195,Matras Angin Tidur Single,King Koil,Matras,100000,"Nyaman, Mudah Digunakan",6
196,Tas Backpack,JanSport,Tas,150000,"Ringan, Tahan Lama",6
197,Kamera Instant Fujifilm,Fujifilm,Kamera,200000,"Instan, Gaya Retro",4
198,Speaker Bluetooth Bose,Bose,Speaker,400000,"Suara Kualitas Tinggi, Desain Elegan",5
199,Gitar Klasik,Yamaha,Alat Musik,200000,"Suara Nada Rendah, Desain Klasik",6
200,Kompor Induksi Hemat Energi,Philips,Dapur,250000,"Efisien, Mudah Digunakan",8
201,Kamera Mirrorless Canon EOS M50,Canon,Kamera,600000," Kualitas Tinggi,Fotografi",5
202,Speaker Bluetooth Sony SRS-XB41,Sony,Speaker,400000," Suara Bass Tinggi,Portabel",7
203,Proyektor HD Epson EB-X41,Epson,Proyektor,800000," Terang,Kualitas Gambar Tinggi",3
204,PlayStation 4 Slim,Sony,Playstation,250000," Kualitas Grafis Tinggi,Gaming",8
205,Tenda Camping 4 Orang,Coleman,Tenda,150000," Mudah Dipasang,Nyaman",6
206,Sepatu Casual,Nike,Sepatu,300000," Stylish,Nyaman",6
207,Matras Angin Tidur Single,Bestway,Matras,100000," Mudah Digunakan,Nyaman",7
208,Tas Selempang Polo,Ralph Lauren,Tas,400000," Desain Klasik,Tahan Lama",5
209,Kamera Instax Mini 11,Fujifilm,Kamera,150000," Gaya Retro,Instan",6
210,Speaker Bluetooth JBL Go,JBL,Speaker,100000," Suara Jernih,Portabel",8
211,Proyektor Mini HD Xiaomi Mi,Xiaomi,Proyektor,300000," Kualitas Gambar Tinggi,Portabel",7
212,Speaker Portable Bose SoundLink Mini,Bose,Speaker,600000," Suara Kualitas Tinggi,Portabel",4
213,PlayStation 3,Sony,Playstation,150000," Nostalgia,Gaming",9
214,Tenda Camping 6 Orang,Coleman,Tenda,180000," Mudah Dipasang,Nyaman",6
215,Sepatu Sneakers Adidas Superstar,Adidas,Sepatu,350000," Nyaman,Stylish",5
216,Matras Angin Tidur Double,King Koil,Matras,200000," Tahan Lama,Nyaman",6
217,Tas Selempang Fossil Estate,Fossil,Tas,300000," Desain Klasik,Tahan Lama",6
218,Kamera Mirrorless Sony Alpha A6000,Sony,Kamera,800000," Kualitas Tinggi,Fotografi",4
219,Speaker Bluetooth JBL Charge 4,JBL,Speaker,500000," Suara Bass Tinggi,Portabel",5
220,Proyektor HD LG CineBeam PH150G,LG,Proyektor,700000," Kualitas Gambar Tinggi,Portabel",3
221,Speaker Portable Sony SRS-XB12,Sony,Speaker,200000," Suara Kualitas Tinggi,Portabel",6
222,PlayStation 2 Slim,Sony,Playstation,150000," Nostalgia,Gaming",8
223,Tenda Camping 8 Orang,Coleman,Tenda,200000," Mudah Dipasang,Nyaman",5
224,Sepatu Running Nike Air Zoom Pegasus,Nike,Sepatu,500000," Dukungan Kaki,Nyaman",6
225,Matras Angin Tidur Queen,Simmons,Matras,250000," Tahan Lama,Nyaman",4
226,Tas Selempang Guess,Guess,Tas,350000," Desain Modern,Tahan Lama",6
227,Kamera DSLR Nikon D5600,Nikon,Kamera,700000," Kualitas Tinggi,Fotografi",4
228,Speaker Bluetooth JBL Flip 5,JBL,Speaker,450000," Suara Kualitas Tinggi,Portabel",5
229,Proyektor HD BenQ TK800,BenQ,Proyektor,900000," Terang,Kualitas Gambar Tinggi",3
230,PlayStation 5,Sony,Playstation,800000," Kualitas Grafis Tinggi,Gaming",4
231,Tenda Camping 10 Orang,Coleman,Tenda,250000," Mudah Dipasang,Nyaman",5
232,Sepatu Sneakers Converse All Star,Converse,Sepatu,400000," Nyaman,Stylish",7
233,Matras Angin Tidur Single,Intex,Matras,150000," Mudah Digunakan,Nyaman",6
234,Tas Ransel Herschel,Herschel,Tas,600000," Desain Modern,Tahan Lama",5
235,Kamera Mirrorless Fujifilm X-T30,Fujifilm,Kamera,900000," Kualitas Tinggi,Fotografi",3
236,Speaker Bluetooth Ultimate Ears Wonderboom,Ultimate Ears,Speaker,350000," Suara Kualitas Tinggi,Portabel",6
237,Proyektor Mini HD AAXA P300,AAXA Technologies,Proyektor,500000," Kualitas Gambar Tinggi,Portabel",5
238,Speaker Portable Sony SRS-XB22,Sony,Speaker,300000," Suara Bass Tinggi,Portabel",7
239,PlayStation Portable (PSP),Sony,Playstation,200000," Portabel,Gaming",8
240,Tenda Camping 6 Orang,Bestway,Tenda,180000," Mudah Dipasang,Nyaman",7
241,Sepatu Boots,Caterpillar,Sepatu,600000," Nyaman,Tahan Lama",5
242,Matras Angin Tidur Double,Intex,Matras,250000," Tahan Lama,Nyaman",4
243,Tas Selempang Michael Kors,Michael Kors,Tas,900000," Desain Klasik,Mewah",3
244,Kamera DSLR Sony Alpha A7 III,Sony,Kamera,1500000," Kualitas Tinggi,Fotografi",2
245,Speaker Bluetooth JBL Clip 3,JBL,Speaker,250000," Suara Kualitas Tinggi,Portabel",6
246,Proyektor HD Epson EH-TW570,Epson,Proyektor,700000," Terang,Kualitas Gambar Tinggi",4
247,PlayStation VR Bundle,Sony,Playstation,1000000," Realitas Virtual,Gaming",2
248,Tenda Camping 4 Orang,Coleman,Tenda,150000," Mudah Dipasang,Nyaman",6
249,Sepatu Slip-On,Vans,Sepatu,300000," Nyaman,Stylish",7
250,Matras Angin Tidur Single,Intex,Matras,150000," Mudah Digunakan,Nyaman",8
251,Tas Selempang Coach,Coach,Tas,500000," Desain Modern,Tahan Lama",6
252,Kamera Mirrorless Olympus OM-D E-M10 Mark III,Olympus,Kamera,800000," Kualitas Tinggi,Fotografi",5
253,Speaker Bluetooth Bose SoundLink Revolve,Bose,Speaker,600000," Suara Bass Tinggi,Portabel",4
254,Proyektor HD ViewSonic PA503W,ViewSonic,Proyektor,800000," Terang,Kualitas Gambar Tinggi",3
255,PlayStation 4 Pro,Sony,Playstation,400000," Kualitas Grafis Tinggi,Gaming",5
256,Tenda Camping 8 Orang,Coleman,Tenda,200000," Mudah Dipasang,Nyaman",6
257,Sepatu Running Adidas Ultraboost,Adidas,Sepatu,800000," Dukungan Kaki,Nyaman",5
258,Matras Angin Tidur Queen,Intex,Matras,300000," Tahan Lama,Nyaman",4
259,Tas Selempang Prada,Prada,Tas,1200000," Desain Elegan,Mewah",3
260,Kamera DSLR Nikon D7500,Nikon,Kamera,1000000," Kualitas Tinggi,Fotografi",4
261,Speaker Bluetooth Harman Kardon Onyx Studio,Harman Kardon,Speaker,800000," Suara Kualitas Tinggi,Portabel",6
262,Proyektor Mini HD Anker Nebula Capsule,Anker,Proyektor,500000," Kualitas Gambar Tinggi,Portabel",5
263,Speaker Portable Sony SRS-XB32,Sony,Speaker,350000," Suara Bass Tinggi,Portabel",6
264,PlayStation Classic,Sony,Playstation,300000," Nostalgia,Gaming",7
265,Tenda Camping 6 Orang,Bestway,Tenda,180000," Mudah Dipasang,Nyaman",6
266,Sepatu Sneakers Puma,Puma,Sepatu,350000," Nyaman,Stylish",6
267,Matras Angin Tidur Double,Intex,Matras,250000," Tahan Lama,Nyaman",5
268,Tas Selempang Chanel,Chanel,Tas,1500000," Desain Klasik,Mewah",4
269,Kamera Mirrorless Fujifilm X-T4,Fujifilm,Kamera,1800000," Kualitas Tinggi,Fotografi",3
270,Speaker Bluetooth JBL Xtreme 2,JBL,Speaker,1000000," Suara Bass Tinggi,Portabel",5
271,Proyektor HD Optoma HD146X,Optoma,Proyektor,1200000," Terang,Kualitas Gambar Tinggi",3
272,PlayStation 3 Slim,Sony,Playstation,300000," Nostalgia,Gaming",6
273,Tenda Camping 4 Orang,Coleman,Tenda,150000," Mudah Dipasang,Nyaman",5
274,Sepatu Running Nike Air Max,Nike,Sepatu,700000," Dukungan Kaki,Nyaman",5
275,Matras Angin Tidur Single,Bestway,Matras,100000," Mudah Digunakan,Nyaman",6
276,Tas Selempang Louis Vuitton,Louis Vuitton,Tas,2000000," Desain Elegan,Mewah",3
277,Kamera DSLR Canon EOS 5D Mark IV,Canon,Kamera,2000000," Kualitas Tinggi,Fotografi",2
278,Speaker Bluetooth Bose SoundLink Micro,Bose,Speaker,400000," Suara Kualitas Tinggi,Portabel",6
279,Proyektor HD Epson EH-TW650,Epson,Proyektor,900000," Terang,Kualitas Gambar Tinggi",4
280,PlayStation 4,Sony,Playstation,250000," Kualitas Grafis Tinggi,Gaming",7
281,Tenda Camping 8 Orang,Coleman,Tenda,200000," Mudah Dipasang,Nyaman",6
282,Sepatu Sneakers Reebok,Reebok,Sepatu,400000," Nyaman,Stylish",7
283,Matras Angin Tidur Queen,Intex,Matras,250000," Tahan Lama,Nyaman",5
284,Tas Selempang Gucci,Gucci,Tas,1500000," Desain Klasik,Mewah",4
285,Kamera Mirrorless Sony Alpha A7R III,Sony,Kamera,2500000," Kualitas Tinggi,Fotografi",3
286,Speaker Bluetooth JBL Pulse 4,JBL,Speaker,700000," Suara Bass Tinggi,Portabel",5
287,Proyektor Mini HD Apeman LC350,Apeman,Proyektor,300000," Kualitas Gambar Tinggi,Portabel",6
288,Speaker Portable Sony SRS-XB31,Sony,Speaker,300000," Suara Kualitas Tinggi,Portabel",7
289,PlayStation 2 Slim,Sony,Playstation,150000," Nostalgia,Gaming",8
290,Tenda Camping 6 Orang,Bestway,Tenda,180000," Mudah Dipasang,Nyaman",6
291,Sepatu Casual,Nike,Sepatu,300000," Stylish,Nyaman",7
292,Matras Angin Tidur Double,King Koil,Matras,200000," Tahan Lama,Nyaman",5
293,Tas Selempang Polo,Ralph Lauren,Tas,400000," Desain Klasik,Tahan Lama",6
294,Kamera Mirrorless Sony Alpha A6000,Sony,Kamera,800000," Kualitas Tinggi,Fotografi",4
295,Speaker Bluetooth JBL Go,JBL,Speaker,100000," Suara Jernih,Portabel",8
